post_id,sku,slug,url
154206,STN012,station-ix-undercover-fixed-blade,https://www.michigansportsoutdoor.com/product/station-ix-undercover-fixed-blade/
154207,STPHM01BLK,stroup-knives-hm01-fixed-blade-black,https://www.michigansportsoutdoor.com/product/stroup-knives-hm01-fixed-blade-black/
154208,STPHM01ODFDECER,stroup-knives-hm01-fde-cerakote-odg,https://www.michigansportsoutdoor.com/product/stroup-knives-hm01-fde-cerakote-odg/
154209,TECEVT01AQ,tec-accessories-halo-valet-tray-aqua,https://www.michigansportsoutdoor.com/product/tec-accessories-halo-valet-tray-aqua/
154210,TECEVT01GR,tec-accessories-halo-valet-tray-green,https://www.michigansportsoutdoor.com/product/tec-accessories-halo-valet-tray-green/
154211,TKS001BK,tippy-customs-ranch-hand-fixed-blade-black,https://www.michigansportsoutdoor.com/product/tippy-customs-ranch-hand-fixed-blade-black/
154213,TKS001OD,tippy-customs-ranch-hand-fixed-blade-od,https://www.michigansportsoutdoor.com/product/tippy-customs-ranch-hand-fixed-blade-od/
154214,TKS002BK,tippy-customs-skinner-fixed-blade-black,https://www.michigansportsoutdoor.com/product/tippy-customs-skinner-fixed-blade-black/
154216,TKS002OD,tippy-customs-skinner-fixed-blade-od,https://www.michigansportsoutdoor.com/product/tippy-customs-skinner-fixed-blade-od/
154218,TV001,tuna-valley-mountain-cougar-orange-artic-b,https://www.michigansportsoutdoor.com/product/tuna-valley-mountain-cougar-orange-artic-b/
154219,TVJM08RGM,trivisa-rhino-framelock-carbon-fiber,https://www.michigansportsoutdoor.com/product/trivisa-rhino-framelock-carbon-fiber/
154220,TVJM08WM,trivisa-rhino-framelock-carbon-fiber-2,https://www.michigansportsoutdoor.com/product/trivisa-rhino-framelock-carbon-fiber-2/
154221,TVJM11RGM,trivisa-skarn-crossbar-lock-ti-rose-gl,https://www.michigansportsoutdoor.com/product/trivisa-skarn-crossbar-lock-ti-rose-gl/
154222,TVJM11WM,trivisa-skarn-crossbar-lock-ti,https://www.michigansportsoutdoor.com/product/trivisa-skarn-crossbar-lock-ti/
154647,BOP02BP0012,boker-plus-lil-friend-micro,https://www.michigansportsoutdoor.com/product/boker-plus-lil-friend-micro/
154648,BR0390B,browning-hunter-linerlock,https://www.michigansportsoutdoor.com/product/browning-hunter-linerlock/
154649,C011A1,kansept-knives-carabiner,https://www.michigansportsoutdoor.com/product/kansept-knives-carabiner/
154650,C011A2,kansept-knives-carabiner-2,https://www.michigansportsoutdoor.com/product/kansept-knives-carabiner-2/
154651,C011A3,kansept-knives-carabiner-3,https://www.michigansportsoutdoor.com/product/kansept-knives-carabiner-3/
154652,C011A4,kansept-knives-carabiner-4,https://www.michigansportsoutdoor.com/product/kansept-knives-carabiner-4/
154653,CBGBBLG02,caliber-gourmet-bubble-blaster,https://www.michigansportsoutdoor.com/product/caliber-gourmet-bubble-blaster/
154654,CBGPZ07GLK,caliber-gourmet-glock-wood-puzzle,https://www.michigansportsoutdoor.com/product/caliber-gourmet-glock-wood-puzzle/
154655,CBGPZ08AK,caliber-gourmet-ak47-wood-puzzle,https://www.michigansportsoutdoor.com/product/caliber-gourmet-ak47-wood-puzzle/
154656,CBGPZ09,caliber-gourmet-derringer-wood-puzzle,https://www.michigansportsoutdoor.com/product/caliber-gourmet-derringer-wood-puzzle/
154657,CBGPZ10,caliber-gourmet-m146-wood-puzzle,https://www.michigansportsoutdoor.com/product/caliber-gourmet-m146-wood-puzzle/
